_id,kuvataan_uudelleen,tiedostonimi,createdAt,updatedAt,__v,created_by,updated_by
5f88a88759c2590335361052,false,DSC00256,2020-10-15T19:52:39.678Z,2020-10-15T19:55:37.194Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a96959c2590335361054,false,DSC00257,2020-10-15T19:56:25.244Z,2020-10-15T19:56:25.356Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a97359c2590335361055,false,DSC00258_07_1024.jpg,2020-10-15T19:56:35.510Z,2020-11-05T01:00:29.984Z,0,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5
5f88a97e59c2590335361056,false,DSC00259,2020-10-15T19:56:46.319Z,2020-10-15T19:56:46.422Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a98959c2590335361057,false,DSC00260,2020-10-15T19:56:57.424Z,2020-10-15T19:56:57.521Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a99f59c2590335361058,false,DSC00261,2020-10-15T19:57:19.728Z,2020-10-15T19:57:19.834Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9aa59c2590335361059,true,DSC00262,2020-10-15T19:57:30.430Z,2020-10-15T20:19:44.644Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9b559c259033536105a,false,DSC00263,2020-10-15T19:57:41.013Z,2020-10-15T19:57:41.111Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9be59c259033536105b,false,DSC00264,2020-10-15T19:57:50.380Z,2020-10-15T19:57:50.475Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9c859c259033536105c,false,DSC00265,2020-10-15T19:58:00.251Z,2020-10-15T19:58:00.364Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9ed59c259033536105d,false,DSC00266,2020-10-15T19:58:37.882Z,2020-10-15T19:58:37.978Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88a9f859c259033536105e,false,DSC00267,2020-10-15T19:58:48.099Z,2020-10-15T19:58:48.211Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa0159c259033536105f,false,DSC00268,2020-10-15T19:58:57.883Z,2020-10-15T19:58:57.988Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa0c59c2590335361060,false,DSC00269,2020-10-15T19:59:08.319Z,2020-10-15T19:59:08.413Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa4759c2590335361061,false,DSC00270,2020-10-15T20:00:07.550Z,2020-10-15T20:00:07.653Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa5059c2590335361062,false,DSC00271,2020-10-15T20:00:16.394Z,2020-10-15T20:00:16.506Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa5959c2590335361063,false,DSC00272,2020-10-15T20:00:25.652Z,2020-10-15T20:00:25.762Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88aa6359c2590335361064,false,DSC00273,2020-10-15T20:00:35.521Z,2020-10-15T20:00:35.632Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab0559c2590335361065,false,DSC00274,2020-10-15T20:03:17.228Z,2020-10-15T20:03:17.450Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab1459c2590335361066,false,DSC00275,2020-10-15T20:03:32.735Z,2020-10-15T20:03:32.844Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab2159c2590335361067,false,DSC00276,2020-10-15T20:03:45.705Z,2020-10-15T20:03:45.923Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab2b59c2590335361068,false,DSC00277,2020-10-15T20:03:55.436Z,2020-10-15T20:03:55.540Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab3459c2590335361069,false,DSC00278,2020-10-15T20:04:04.719Z,2020-10-15T20:04:05.036Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ab3f59c259033536106a,false,DSC00279,2020-10-15T20:04:15.239Z,2020-10-15T20:04:15.426Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88ae0b59c259033536106b,false,DSC00280,2020-10-15T20:16:11.500Z,2020-10-15T20:16:11.599Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f88c9c128ebd026f8500c58,false,DSC00280,2020-10-15T22:14:25.247Z,2020-10-15T22:14:25.276Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3