_id,title,tuotenumero,createdAt,updatedAt,__v,artist,created_by,updated_by,Taiteilija,teosnimi,nayttokuva,hinta,korkeus,leveys,tekniikka,valmistumisvuosi,vedosmaara
5f5e9efafb8f29784608bbad,Gullichsen,0,2020-09-13T22:36:42.352Z,2020-10-07T09:48:18.135Z,0,5f5e9e60fb8f29784608bbab,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5e9e60fb8f29784608bbab,Limakärsä,[],350,73,53,Litografia,1990,100
5f5e9faafb8f29784608bbae,Gullichsen,0,2020-09-13T22:39:38.718Z,2020-10-07T09:49:09.000Z,0,5f5e9e60fb8f29784608bbab,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5e9e60fb8f29784608bbab,Töpseli,"[{""$oid"":""5f764a2c2adb35056c787533""}]",350,73,53,Litografia,1990,100
5f5ea3bb271cb47961a394d6,Gullichsen,0,2020-09-13T22:56:59.092Z,2020-10-07T09:49:34.202Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5e9e60fb8f29784608bbab,Pärre Bonk,"[{""$oid"":""5f764a2c2adb35056c78753b""}]",350,73,53,Litografia,1990,100
5f5ea450271cb47961a394d7,Maximus,0,2020-09-13T22:59:28.156Z,2020-10-07T09:52:49.505Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5e9e98fb8f29784608bbac,Bussijuoksu,"[{""$oid"":""5f764a2c2adb35056c787541""}]",250,52,65,Serigrafia,2000,175
5f5ea525271cb47961a394d8,Maximus,0,2020-09-13T23:03:01.437Z,2020-10-07T09:55:09.544Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5e9e98fb8f29784608bbac,Polkupyöräilijän kahvila,"[{""$oid"":""5f764a2c2adb35056c787519""}]",200,48,42,Serigrafia,2000,100
5f5ea956f5cef979d414cfe0,Riippa,0,2020-09-13T23:20:54.277Z,2020-10-07T09:59:43.487Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5ea931f5cef979d414cfdf,Kimppu,"[{""$oid"":""5f764a2c2adb35056c787513""}]",380,40,54,Viivasyövytys-akvatinta,2013,75
5f5eab69f5cef979d414cfe2,Railo,0,2020-09-13T23:29:45.850Z,2020-10-14T12:01:45.374Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5eab40f5cef979d414cfe1,Taivaanvuohi paatilla,"[{""$oid"":""5f86e7052adb35056c7875ba""}]",310,40,54,Serigrafia,2011,100
5f5eabbef5cef979d414cfe4,Augustson,0,2020-09-13T23:31:10.024Z,2020-10-07T10:07:22.300Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5eab8ff5cef979d414cfe3,Syysleikki 1,"[{""$oid"":""5f764a2c2adb35056c78752b""}]",330,40,33,Serigrafia,1991,99
5f5eabe3f5cef979d414cfe5,Augustson,0,2020-09-13T23:31:47.197Z,2020-10-07T10:07:11.086Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5eab8ff5cef979d414cfe3,Syysleikki 2,"[{""$oid"":""5f764a2c2adb35056c787527""}]",330,40,33,Serigrafia,1991,99
5f5eabfff5cef979d414cfe6,Augustson,0,2020-09-13T23:32:15.341Z,2020-10-07T10:06:59.485Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f5eab8ff5cef979d414cfe3,Syysleikki 3,"[{""$oid"":""5f764a2c2adb35056c787522""}]",330,40,33,Serigrafia,1991,99
5f7456c0465a950572a761c7,Polameri,,2020-09-30T09:58:24.301Z,2020-09-30T09:58:24.325Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Satamassa,,285,43,36,Serigrafia,2015,175
5f74573e465a950572a761c8,Polameri,,2020-09-30T10:00:30.170Z,2020-10-07T10:09:57.241Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Jouhisorsa,[],220,32,50,Serigrafia,2003,99
5f7457ba465a950572a761c9,Polameri,,2020-09-30T10:02:34.009Z,2020-10-07T10:10:13.562Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Tukkakoskelo,[],220,32,50,Serigrafia,2003,99
5f745a1b465a950572a761ca,Kivinen,,2020-09-30T10:12:43.851Z,2020-09-30T10:19:20.948Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896cae380b82d111d51f8,Kuusen ystävä I,,340,47,40,"Akvatinta,mezzotinto,kuivaneula",2017,50
5f745aae465a950572a761cb,Riippa,,2020-09-30T10:15:10.238Z,2020-09-30T10:19:38.216Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f5ea931f5cef979d414cfdf,Tapetti,,380,50,40,Viivasyövytys-akvatinta,2014,75
5f745b13465a950572a761cc,Somppi,,2020-09-30T10:16:51.070Z,2020-10-07T10:11:34.751Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6897d8e380b82d111d51ff,Pienen neilikkapuun vartijat,[],320,45,36,Etsaus-akvatinta,2018,80
5f745b99465a950572a761cd,Vuorinen,,2020-09-30T10:19:05.392Z,2020-09-30T10:19:05.405Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f5ea5bd4841af799c439217,Kissakuiskaaja,,320,52,38,Etsaus-akvatinta,2015,100
5f745c10465a950572a761ce,Vuorinen,,2020-09-30T10:21:04.539Z,2020-09-30T10:21:04.552Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f5ea5bd4841af799c439217,Pieni ikuisuus,,320,52,38,Etsaus-akvatinta,2016,100
5f745c4a465a950572a761cf,Vuorinen,,2020-09-30T10:22:02.990Z,2020-09-30T10:22:03.022Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f5ea5bd4841af799c439217,Aurinkoinen aamu,,320,52,38,,2018,100
5f745cb3465a950572a761d0,Bergqvist,,2020-09-30T10:23:47.452Z,2020-09-30T10:23:47.463Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898c5e380b82d111d5205,Samassa veneessä,,330,47,41,Serigrafia,2015,125
5f745d2e465a950572a761d1,Vuorisalo,,2020-09-30T10:25:50.110Z,2020-09-30T10:25:50.122Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,La Luna,,350,76,50,Serigrafia,1989,150
5f745da6465a950572a761d2,Vuori,,2020-09-30T10:27:50.985Z,2020-09-30T10:27:50.995Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689902e380b82d111d5208,Nousujohteista,,220,55,40,Serigrafia,2017,
5f745df4465a950572a761d3,Vuori,,2020-09-30T10:29:08.024Z,2020-09-30T10:29:08.035Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689902e380b82d111d5208,Maahanmuuttaja,,270,55,45,Serigrafia,2009,150
5f745fb2465a950572a761d4,Clyv,,2020-09-30T10:36:34.634Z,2020-09-30T10:36:34.647Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898dbe380b82d111d5206,"L'arbre de vie - Elämän puu",,300,65,48,Litografia,2001,175
5f746408465a950572a761d5,Clyv,,2020-09-30T10:55:04.107Z,2020-09-30T10:55:04.119Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898dbe380b82d111d5206,Coquille de vie - Simpukkakoti,,200,47,38,Litografia,2002,175
5f746469465a950572a761d6,Clyv,,2020-09-30T10:56:41.792Z,2020-09-30T10:56:41.803Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898dbe380b82d111d5206,Paysage à la coque - Kevätkoti,,200,47,38,Litografia,2002,175
5f746748465a950572a761d7,Väisänen,,2020-09-30T11:08:56.332Z,2020-10-07T10:16:49.732Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68996ee380b82d111d520e,Il miracolo di Choane,[],750,57,146,Litografia,1990,100
5f746a99465a950572a761d9,Polameri,,2020-09-30T11:23:05.328Z,2020-10-07T10:18:15.095Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Lammella,"[{""$oid"":""5f764a2a2adb35056c78750a""}]",285,35,43,Serigrafia,2013,175
5f746afd465a950572a761da,Polameri,,2020-09-30T11:24:45.356Z,2020-09-30T11:25:01.521Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Elämä jatkuu,,180,34,28,Serigrafia,2006,125
5f746be5465a950572a761db,Polameri,,2020-09-30T11:28:37.215Z,2020-09-30T11:28:37.226Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Käpytikka,,180,35,27,Serigrafia,1992,225
5f746cb6465a950572a761dc,Polameri,,2020-09-30T11:32:06.616Z,2020-09-30T11:32:06.632Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Lapin kelo,,180,34,29,Serigrafia,1988,
5f74717b465a950572a761dd,Vuorinen,,2020-09-30T11:52:27.188Z,2020-10-03T00:00:14.313Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f5ea5bd4841af799c439217,Varhain aamusella,"[{""$oid"":""5f764a2c2adb35056c787532""}]",315,,,Etsaus-akvatinta,2011,100
5f747382465a950572a761de,Vuorinen,,2020-09-30T12:01:06.230Z,2020-10-03T00:01:53.975Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f5ea5bd4841af799c439217,Ympäri käydään,"[{""$oid"":""5f764a2c2adb35056c78753a""}]",315,,,Etsaus-akvatinta,2011,100
5f7473b5465a950572a761df,Vuorinen,,2020-09-30T12:01:57.575Z,2020-10-02T21:39:42.582Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f5ea5bd4841af799c439217,Kristallivuori,"[{""$oid"":""5f764a2c2adb35056c787529""}]",315,,,Etsaus-akvatinta,2013,100
5f7473ef465a950572a761e0,Vuorinen,,2020-09-30T12:02:55.106Z,2020-10-02T23:59:11.831Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f5ea5bd4841af799c439217,Unelmat kantavat,"[{""$oid"":""5f764a2c2adb35056c787523""}]",320,,,Etsaus-akvatinta,2014,
5f74750d465a950572a761e1,Väisänen,,2020-09-30T12:07:41.345Z,2020-10-07T10:26:40.822Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68996ee380b82d111d520e,Luominen ja kolme pylvästä,"[{""$oid"":""5f764a2c2adb35056c78752d""}]",500,56,73,Litografia,1990,100
5f747570465a950572a761e2,Väisänen,,2020-09-30T12:09:20.872Z,2020-10-07T10:27:03.504Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68996ee380b82d111d520e,Viisi aistia ja muisti,"[{""$oid"":""5f764a2d2adb35056c787546""}]",500,73,56,Litografia,1990,100
5f7475a8465a950572a761e3,Väisänen,,2020-09-30T12:10:16.862Z,2020-10-07T10:27:25.990Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68996ee380b82d111d520e,Nimetön,"[{""$oid"":""5f764a2c2adb35056c78751b""}]",500,56,73,Litografia,1990,100
5f74778c465a950572a761e4,Koistinen,,2020-09-30T12:18:20.730Z,2020-10-07T10:31:30.518Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689786e380b82d111d51fe,Kevät,"[{""$oid"":""5f764a2c2adb35056c787535""}]",400,48,56,Etsaus-akvatinta,2012,100
5f7477c8465a950572a761e5,Koistinen,,2020-09-30T12:19:20.494Z,2020-10-07T10:32:03.151Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689786e380b82d111d51fe,Kesän kaipuu,"[{""$oid"":""5f764a2c2adb35056c787538""}]",400,39,54,Etsaus-akvatinta,2011,100
5f7477fa465a950572a761e6,Koistinen,,2020-09-30T12:20:10.645Z,2020-10-02T21:44:16.894Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f689786e380b82d111d51fe,Kuutamolla,"[{""$oid"":""5f764a2c2adb35056c787542""}]",370,,,Etsaus-akvatinta,2013,100
5f74785e465a950572a761e7,Kaila,,2020-09-30T12:21:50.324Z,2020-10-07T10:38:02.889Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896afe380b82d111d51f7,Aavistuksen tavoin,"[{""$oid"":""5f764a2c2adb35056c78751d""}]",320,46,57,Serigrafia,2011,125
5f7478f2465a950572a761e8,Kaila,,2020-09-30T12:24:18.049Z,2020-10-07T10:38:22.716Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896afe380b82d111d51f7,Sinulle,"[{""$oid"":""5f764a2c2adb35056c78752a""}]",320,33,32,Serigrafia,2014,125
5f74792c465a950572a761e9,Kaila,,2020-09-30T12:25:16.568Z,2020-10-07T10:39:29.214Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896afe380b82d111d51f7,Vanamotyttö,"[{""$oid"":""5f764a2c2adb35056c787516""}]",250,30,24,Serigrafia,2008,195
5f747963465a950572a761ea,Kaila,,2020-09-30T12:26:11.217Z,2020-10-07T10:39:59.611Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896afe380b82d111d51f7,Gabriel,"[{""$oid"":""5f764a2c2adb35056c787539""}]",340,46,57,Serigrafia,2009,195
5f7479b4465a950572a761eb,Sirviö,,2020-09-30T12:27:32.972Z,2020-10-07T10:43:23.286Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896e5e380b82d111d51f9,Vivace,"[{""$oid"":""5f764a2d2adb35056c787547""}]",380,49,53,Kivilitografia,2010,75
5f7479e6465a950572a761ec,Sirviö,,2020-09-30T12:28:22.245Z,2020-10-14T12:13:12.693Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6896e5e380b82d111d51f9,Aamuun avautuvat,"[{""$oid"":""5f764a2a2adb35056c78750b""}]",380,40,55,Kivilitografia,2010,50
5f747a45465a950572a761ed,Stenvall,,2020-09-30T12:29:57.561Z,2020-10-07T10:46:15.335Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6897ebe380b82d111d5200,Kuraattorin virka,"[{""$oid"":""5f764a2c2adb35056c787520""}]",380,50,65,Serigrafia,2008,195
5f747a89465a950572a761ee,Stenvall,,2020-09-30T12:31:05.587Z,2020-10-02T22:40:58.377Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f6897ebe380b82d111d5200,Olemisen keveys,"[{""$oid"":""5f764a2c2adb35056c78751a""}]",380,,,Serigrafia,2009,195
5f747ab7465a950572a761ef,Stenvall,,2020-09-30T12:31:51.404Z,2020-10-02T21:28:25.343Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f6897ebe380b82d111d5200,Helene,"[{""$oid"":""5f764a2c2adb35056c78752c""}]",380,,,Serigrafia,2003,195
5f747b87465a950572a761f0,Stenvall,,2020-09-30T12:35:19.068Z,2020-10-02T21:34:37.893Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f6897ebe380b82d111d5200,Iso puku,"[{""$oid"":""5f764a2b2adb35056c78750f""}]",380,,,Serigrafia,2002,195
5f747bd4465a950572a761f1,Lavonen,,2020-09-30T12:36:36.040Z,2020-10-02T22:23:06.264Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f7236706ed38803f5d48672,Mikael,"[{""$oid"":""5f764a2c2adb35056c787515""}]",900,,,Kivilitografia,2011,60
5f747c22465a950572a761f2,Lavonen,,2020-09-30T12:37:54.501Z,2020-10-01T22:08:00.584Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f7236706ed38803f5d48672,Al Ghazali,"[{""$oid"":""5f764a2c2adb35056c787521""}]",360,,,Kivilitografia,2009,60
5f747c78465a950572a761f3,Airikkala,,2020-09-30T12:39:20.305Z,2020-10-07T10:48:28.503Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689914e380b82d111d5209,Runottaret I,"[{""$oid"":""5f764a2c2adb35056c78753e""}]",200,38,29,Serigrafia,2005,195
5f747c9f465a950572a761f4,Airikkala,,2020-09-30T12:39:59.732Z,2020-10-17T09:34:32.793Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689914e380b82d111d5209,Runottaret II,[],200,38,29,Serigrafia,2005,195
5f747cf4465a950572a761f5,Mughal,,2020-09-30T12:41:24.379Z,2020-10-02T22:58:38.328Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f72374c6ed38803f5d48673,Poem,"[{""$oid"":""5f764a2c2adb35056c787512""}]",290,,,Serigrafia,2008,100
5f747d3c465a950572a761f6,Bergqvist,,2020-09-30T12:42:36.472Z,2020-10-07T10:50:35.597Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898c5e380b82d111d5205,Samaa unta,"[{""$oid"":""5f764a2d2adb35056c787545""}]",330,50,63,Serigrafia,2007,195
5f747d92465a950572a761f7,Vuorisalo,,2020-09-30T12:44:02.388Z,2020-10-07T11:01:24.350Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Seireeni,"[{""$oid"":""5f764a2c2adb35056c78751c""}]",320,54,41,Serigrafia,2011,75
5f747dec465a950572a761f8,Vuorisalo,,2020-09-30T12:45:32.904Z,2020-10-07T11:01:48.404Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Liekki,"[{""$oid"":""5f764a2b2adb35056c78750d""}]",320,58,45,Serigrafia,2011,100
5f747e1f465a950572a761f9,Vuorisalo,,2020-09-30T12:46:23.789Z,2020-10-07T11:02:07.173Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Onnellinen prinssi,"[{""$oid"":""5f764a2c2adb35056c78753c""}]",240,55,41,Serigrafia,2001,125
5f747e52465a950572a761fa,Vuorisalo,,2020-09-30T12:47:14.492Z,2020-10-07T11:02:30.147Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Balladi,"[{""$oid"":""5f764a2c2adb35056c787517""}]",240,60,46,Serigrafia,1999,125
5f747f4f465a950572a761fc,Vuorisalo,,2020-09-30T12:51:27.927Z,2020-10-07T11:02:47.180Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Albatrossi,"[{""$oid"":""5f764a2c2adb35056c787530""}]",300,70,50,Serigrafia,2005,75
5f747f97465a950572a761fd,Vuorisalo,,2020-09-30T12:52:39.183Z,2020-10-07T11:03:20.258Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Moulin rouge I,"[{""$oid"":""5f764a2c2adb35056c78751e""}]",350,75,56,Litografia,1989,150
5f747fed465a950572a761fe,Vuorisalo,,2020-09-30T12:54:05.274Z,2020-10-07T11:03:31.012Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Moulin rouge II,"[{""$oid"":""5f764a2c2adb35056c787510""}]",350,75,56,Litografia,1989,150
5f748021465a950572a761ff,Vuorisalo,,2020-09-30T12:54:57.403Z,2020-10-07T11:03:40.943Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Notre Dame I,"[{""$oid"":""5f764a2c2adb35056c787543""}]",350,75,56,Litografia,1989,150
5f748048465a950572a76200,Vuorisalo,,2020-09-30T12:55:36.524Z,2020-10-07T11:03:52.168Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Notre Dame II,"[{""$oid"":""5f764a2c2adb35056c787537""}]",350,75,56,Litografia,1989,150
5f748091465a950572a76201,Vuorisalo,,2020-09-30T12:56:49.667Z,2020-10-07T11:04:14.569Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6898f2e380b82d111d5207,Hiirenvirna,[],180,46,59,Serigrafia,,
5f748132465a950572a76202,Vuori,,2020-09-30T12:59:30.524Z,2020-10-07T11:27:21.801Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689902e380b82d111d5208,Original swing,"[{""$oid"":""5f764a2c2adb35056c78753d""}]",270,50,37,Serigrafia,1999,150
5f74815f465a950572a76203,Vuori,,2020-09-30T13:00:15.603Z,2020-10-07T11:29:32.084Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689902e380b82d111d5208,Satumaa,"[{""$oid"":""5f764a2c2adb35056c787531""}]",270,56,43,Serigrafia,2003,195
5f7481bc465a950572a76204,Vuori,,2020-09-30T13:01:48.175Z,2020-10-07T11:30:52.365Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689902e380b82d111d5208,Goljatti,[],270,45,55,Serigrafia,2016,150
5f748227465a950572a76205,Somppi,,2020-09-30T13:03:35.248Z,2020-10-07T11:33:47.363Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6897d8e380b82d111d51ff,Aprikoosisadon vartijat,"[{""$oid"":""5f764a2c2adb35056c78751f""}]",320,65,48,Etsaus-akvatinta,2013,125
5f7482ac465a950572a76206,Bremer,,2020-09-30T13:05:48.850Z,2020-10-02T23:57:40.645Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f7238f16ed38803f5d48674,Tiger,"[{""$oid"":""5f764a2c2adb35056c78752e""}]",280,,,Etsaus-akvatinta,2003,100
5f748330465a950572a76207,Polameri,,2020-09-30T13:08:00.306Z,2020-10-07T11:52:14.038Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Hiljaiseloa,"[{""$oid"":""5f764a2c2adb35056c787524""}]",300,44,55,Serigrafia,2099,175
5f74836f465a950572a76208,Polameri,,2020-09-30T13:09:03.907Z,2020-10-07T11:52:52.260Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Talvipäivän seisaus,"[{""$oid"":""5f764a2c2adb35056c787540""}]",300,50,57,Serigrafia,2012,175
5f7486c7465a950572a7620a,Polameri,-2,2020-09-30T13:23:19.357Z,2020-10-07T11:53:40.342Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Tauko,"[{""$oid"":""5f764a2c2adb35056c787528""}]",270,37,33,Serigrafia,2012,175
5f7486fe465a950572a7620b,Polameri,,2020-09-30T13:24:14.332Z,2020-10-07T11:53:58.519Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Löytö,"[{""$oid"":""5f764a2b2adb35056c78750e""}]",270,37,33,Serigrafia,2012,175
5f748741465a950572a7620c,Polameri,,2020-09-30T13:25:21.978Z,2020-10-07T11:58:15.240Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Suojassa,"[{""$oid"":""5f764a2c2adb35056c787534""}]",300,49,50,Serigrafia,2012,175
5f748768465a950572a7620d,Polameri,,2020-09-30T13:26:00.904Z,2020-10-07T13:08:39.090Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Luminen metsä,"[{""$oid"":""5f764a2c2adb35056c787536""}]",300,45,54,Serigrafia,2013,175
5f7487bc465a950572a7620e,Polameri,,2020-09-30T13:27:24.441Z,2020-10-07T13:09:36.909Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Usva nousee,[],300,47,56,Serigrafia,2014,175
5f74881d465a950572a7620f,Polameri,,2020-09-30T13:29:01.368Z,2020-10-07T13:11:15.370Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Luodolla,"[{""$oid"":""5f764a2c2adb35056c787514""}]",300,61,50,Serigrafia,2012,175
5f74885d465a950572a76210,Polameri,,2020-09-30T13:30:05.221Z,2020-10-07T13:11:58.555Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Hiljaiseloa,[],300,44,55,Serigrafia,2009,175
5f7488cc465a950572a76211,Polameri,,2020-09-30T13:31:56.347Z,2020-09-30T14:02:47.608Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Sieniasetelma,,150,63,48,Serigrafia,1989,150
